occurrenceID	organismQuantity	locationID	decimalLongitude	decimalLatitude	scientificName	taxonRank	materialSampleID
pacman_Nice03_01_CI_d5f5067b	9308	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice06_01_CI_d5f5067b	8126	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice06_01_CI_ae37594d	6938	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Sweden01_CI_246f35b7	6772	Sweden01	17.369983	60.65555	Eurytemora	genus	Sweden01
pacman_Nice07_02_CI_e6826557	6624	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice07_02_CI_d5f5067b	4724	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice07_02_CI_ae37594d	4245	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice04_01_CI_01dc3189	4128	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_01
pacman_Nice03_01_CI_0836d2e7	3861	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice04_02_CI_01dc3189	3729	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_02
pacman_Nice03_02_CI_d5f5067b	3412	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_02
pacman_Nice04_02_CI_e6826557	3386	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_02
pacman_Nice06_01_CI_bd0fc584	2871	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice05_02_CI_d5f5067b	2510	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice03_01_CI_425f52ac	2468	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Sweden01_CI_b2d6f8b4	2460	Sweden01	17.369983	60.65555	Eurytemora affinis	species	Sweden01
pacman_Nice06_02_CI_d5f5067b	2323	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Sweden01_CI_230ed544	2232	Sweden01	17.369983	60.65555	Eukaryota	domain	Sweden01
pacman_Nice02_01_CI_d5f5067b	2200	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_01
pacman_Nice06_01_CI_425f52ac	2118	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice06_01_CI_34e6290b	1880	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice03_01_CI_ae37594d	1877	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice06_01_CI_ab276b06	1798	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice06_02_CI_ae37594d	1791	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Nice06_01_CI_d0644b7a	1714	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice07_02_CI_425f52ac	1677	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice03_01_CI_775f6385	1674	Nice03	7.2836251	43.6952017	Octactis speculum	species	Nice03_01
pacman_Nice06_01_CI_0836d2e7	1672	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice03_01_CI_7cf0e7c7	1640	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice05_02_CI_e6826557	1590	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice03_01_CI_34e6290b	1568	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice06_01_CI_775f6385	1505	Nice06	7.2759908	43.6943859	Octactis speculum	species	Nice06_01
pacman_Nice01_02_CI_2b8807f4	1436	Nice01	7.2902988	43.6921280	Florideophyceae	class	Nice01_02
pacman_Nice07_02_CI_d0644b7a	1406	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice02_01_CI_34ce1fb0	1355	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_01
pacman_Nice04_01_CI_775f6385	1347	Nice04	7.2938607	43.6864926	Octactis speculum	species	Nice04_01
pacman_Nice06_01_CI_7cf0e7c7	1329	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice01_01_CI_d99bd9ed	1321	Nice01	7.2902988	43.6921280	Paracalanus parvus	species	Nice01_01
pacman_Nice06_01_CI_80344eec	1300	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice05_01_CI_d5f5067b	1259	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_01
pacman_Nice06_02_CI_775f6385	1235	Nice06	7.2759908	43.6943859	Octactis speculum	species	Nice06_02
pacman_Nice02_01_CI_ae37594d	1231	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_01
pacman_Nice06_02_CI_d0644b7a	1228	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Nice01_02_CI_d5f5067b	1218	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_02
pacman_Nice06_01_CI_39d95006	1208	Nice06	7.2759908	43.6943859	Creseis acicula	species	Nice06_01
pacman_Nice03_02_CI_425f52ac	1151	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_02
pacman_Sweden01_CI_43d54891	1149	Sweden01	17.369983	60.65555	Eukaryota	domain	Sweden01
pacman_Nice04_01_CI_d0644b7a	1141	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_01
pacman_Nice03_01_CI_bd0fc584	1133	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice01_01_CI_2b8807f4	1113	Nice01	7.2902988	43.6921280	Florideophyceae	class	Nice01_01
pacman_Nice01_01_CI_d5f5067b	1094	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_01
pacman_Nice04_01_CI_d5f5067b	1089	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_01
pacman_Nice06_02_CI_ab276b06	1079	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Nice03_01_CI_ab276b06	1065	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice04_02_CI_d5f5067b	1045	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_02
pacman_Nice06_01_CI_73b182ad	1025	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice03_01_CI_e21f501d	1019	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice06_02_CI_34e6290b	1012	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Nice07_02_CI_80344eec	998	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice05_02_CI_ae37594d	989	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice06_01_CI_e7d53e87	988	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice07_02_CI_34e6290b	957	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice02_01_CI_67ed8534	947	Nice02	7.2854731	43.6980647	Watersipora subatra	species	Nice02_01
pacman_Nice07_02_CI_34ce1fb0	940	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Sweden01_CI_edd69145	938	Sweden01	17.369983	60.65555	Acartia bifilosa	species	Sweden01
pacman_Nice07_02_CI_775f6385	935	Nice07	7.2339643	43.6822367	Octactis speculum	species	Nice07_02
pacman_Nice03_01_CI_d0644b7a	921	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice06_01_CI_96398a9a	919	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice05_02_CI_bd0fc584	895	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice06_01_CI_3e04209b	894	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice03_01_CI_34ce1fb0	873	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice06_02_CI_7cf0e7c7	860	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Nice06_01_CI_34ce1fb0	847	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice06_01_CI_d52f795b	843	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice07_01_CI_d5f5067b	837	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_01
pacman_Nice05_02_CI_425f52ac	835	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice03_02_CI_775f6385	834	Nice03	7.2836251	43.6952017	Octactis speculum	species	Nice03_02
pacman_Nice03_02_CI_ae37594d	825	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_02
pacman_Sweden01_CI_5b1361dd	807	Sweden01	17.369983	60.65555	Skeletonema	genus	Sweden01
pacman_Nice01_02_CI_d46af36b	791	Nice01	7.2902988	43.6921280	Subadyte cf. albanyensis	species	Nice01_02
pacman_Nice03_02_CI_34e6290b	779	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_02
pacman_Nice06_01_CI_287211d1	777	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice05_02_CI_775f6385	765	Nice05	7.3083152	43.6895811	Octactis speculum	species	Nice05_02
pacman_Nice03_01_CI_e7d53e87	760	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice01_01_CI_ae37594d	760	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_01
pacman_Nice03_01_CI_4e326a70	754	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice03_01_CI_02e4ba0b	742	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice04_01_CI_0836d2e7	740	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_01
pacman_Nice02_01_CI_09ee34ca	734	Nice02	7.2854731	43.6980647	Corallinales	order	Nice02_01
pacman_Nice03_01_CI_d4d5c112	725	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice04_01_CI_ae37594d	718	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_01
pacman_Nice06_01_CI_7aea8161	716	Nice06	7.2759908	43.6943859	Teleaulax amphioxeia	species	Nice06_01
pacman_Nice07_01_CI_d0644b7a	715	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_01
pacman_Nice04_02_CI_ae37594d	714	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_02
pacman_Nice06_02_CI_287211d1	711	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Nice01_01_CI_425f52ac	711	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_01
pacman_Nice07_01_CI_ae37594d	710	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_01
pacman_Nice05_02_CI_aa3c564f	707	Nice05	7.3083152	43.6895811	Herposiphonia	genus	Nice05_02
pacman_Nice01_02_CI_425f52ac	704	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_02
pacman_Nice01_02_CI_34ce1fb0	696	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_02
pacman_Nice02_02_CI_d5f5067b	684	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_02
pacman_Nice03_01_CI_45bbcf27	683	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice03_01_CI_80344eec	681	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
