occurrenceID	materialSampleID	decimalLongitude	decimalLatitude	scientificName	taxonRank	organismQuantity
wilderlab_Nice01_01_WV_a938baa3	Nice01_01	7.2902988	43.6921280	Sarpa salpa	species	5216
wilderlab_Nice01_02_WV_a938baa3	Nice01_02	7.2902988	43.6921280	Sarpa salpa	species	3976
wilderlab_Nice02_02_WV_a938baa3	Nice02_02	7.2854731	43.6980647	Sarpa salpa	species	775
wilderlab_Nice03_01_WV_a938baa3	Nice03_01	7.2836251	43.6952017	Sarpa salpa	species	283
wilderlab_Nice03_02_WV_a938baa3	Nice03_02	7.2836251	43.6952017	Sarpa salpa	species	850
wilderlab_Nice04_01_WV_a938baa3	Nice04_01	7.2938607	43.6864926	Sarpa salpa	species	17900
wilderlab_Nice04_02_WV_a938baa3	Nice04_02	7.2938607	43.6864926	Sarpa salpa	species	15831
wilderlab_Nice05_01_WV_a938baa3	Nice05_01	7.3083152	43.6895811	Sarpa salpa	species	7711
wilderlab_Nice05_02_WV_a938baa3	Nice05_02	7.3083152	43.6895811	Sarpa salpa	species	4692
wilderlab_Nice06_01_WV_a938baa3	Nice06_01	7.2759908	43.6943859	Sarpa salpa	species	2419
wilderlab_Nice06_02_WV_a938baa3	Nice06_02	7.2759908	43.6943859	Sarpa salpa	species	10327
wilderlab_Nice07_01_WV_a938baa3	Nice07_01	7.2339643	43.6822367	Sarpa salpa	species	1917
wilderlab_Nice07_02_WV_a938baa3	Nice07_02	7.2339643	43.6822367	Sarpa salpa	species	2239
wilderlab_Sweden01_RV_f7a630a2	Sweden01	17.42194444	60.74250000	Clupea harengus	species	33530
wilderlab_Nice03_01_WV_a42902d3	Nice03_01	7.2836251	43.6952017	Spondyliosoma cantharus	species	15341
wilderlab_Nice03_02_WV_a42902d3	Nice03_02	7.2836251	43.6952017	Spondyliosoma cantharus	species	13818
wilderlab_Nice01_01_RV_d5bec22e	Nice01_01	7.2902988	43.6921280	Oedalechilus labeo	species	8931
wilderlab_Nice01_02_RV_d5bec22e	Nice01_02	7.2902988	43.6921280	Oedalechilus labeo	species	1579
wilderlab_Nice05_02_RV_d5bec22e	Nice05_02	7.3083152	43.6895811	Oedalechilus labeo	species	1374
wilderlab_Nice06_01_RV_d5bec22e	Nice06_01	7.2759908	43.6943859	Oedalechilus labeo	species	7365
wilderlab_Nice06_02_RV_d5bec22e	Nice06_02	7.2759908	43.6943859	Oedalechilus labeo	species	4413
wilderlab_Nice07_01_RV_d5bec22e	Nice07_01	7.2339643	43.6822367	Oedalechilus labeo	species	1903
wilderlab_Nice07_02_RV_d5bec22e	Nice07_02	7.2339643	43.6822367	Oedalechilus labeo	species	1433
wilderlab_Nice02_01_WV_72992fe3	Nice02_01	7.2854731	43.6980647	Parablennius sanguinolentus	species	13912
wilderlab_Nice02_02_WV_72992fe3	Nice02_02	7.2854731	43.6980647	Parablennius sanguinolentus	species	6003
wilderlab_Nice03_01_WV_72992fe3	Nice03_01	7.2836251	43.6952017	Parablennius sanguinolentus	species	129
wilderlab_Nice03_02_WV_72992fe3	Nice03_02	7.2836251	43.6952017	Parablennius sanguinolentus	species	589
